from_lncRNA,to_mRNA
AD000090.2,ELAVL1
NONHSAG025829,ELAVL1
NONHSAG026113,ELAVL1
NONHSAG026692,ELAVL1
NONHSAG027346,ELAVL1
RPI001_654597,ELAVL1
NONHSAG027670,ELAVL1
RPI001_656523,ELAVL1
AC009404.2,ELAVL1
AC018737.1,ELAVL1
NONHSAG029958,ELAVL1
TTN-AS1,ELAVL1
NONHSAG030056,ELAVL1
NONHSAG000838,ELAVL1
NONHSAG004522,ELAVL1
RPI001_659880,ELAVL1
NONHSAG026754,ELAVL1
RP11-254F7.2,ELAVL1
DISC1,ELAVL1
AC016747.3,ELAVL1
RPI001_662252,ELAVL1
NONHSAG027991,ELAVL1
NONHSAG028114,ELAVL1
NONHSAG028462,ELAVL1
NONHSAG029023,ELAVL1
NONHSAG004815,ELAVL1
NONHSAG030017,ELAVL1
RP11-410E4.1,ELAVL1
NONHSAG030085,ELAVL1
NONHSAG030338,ELAVL1
RP11-384O8.1,ELAVL1
RPI001_666981,ELAVL1
OSER1-AS1,ELAVL1
NONHSAG031084,ELAVL1
FAM182B,ELAVL1
RP11-169K16.9,ELAVL1
RP4-564F22.5,ELAVL1
U1,ELAVL1
RPI001_669620,ELAVL1
NONHSAG032813,ELAVL1
RPI001_669976,ELAVL1
AF127936.7,ELAVL1
LINC00158,ELAVL1
NONHSAG032559,ELAVL1
RPL23P2,ELAVL1
NONHSAG032760,ELAVL1
THAP7-AS1,ELAVL1
PPIL2,ELAVL1
RPI001_671377,ELAVL1
ISCA2P1,ELAVL1
RPI001_671896,ELAVL1
NONHSAG033608,ELAVL1
RP1-85F18.6,ELAVL1
NONHSAG034087,ELAVL1
CTA-217C2.1,ELAVL1
RP5-1092A3.4,ELAVL1
NONHSAG035165,ELAVL1
TMEM30C,ELAVL1
RP11-221J22.1,ELAVL1
RP11-18H7.1,ELAVL1
RP11-475N22.4,ELAVL1
LINC00969,ELAVL1
NONHSAG035158,ELAVL1
RP11-69E11.4,ELAVL1
MAGI1,ELAVL1
NONHSAG035370,ELAVL1
RP11-553L6.5,ELAVL1
NONHSAG001304,ELAVL1
NONHSAG036309,ELAVL1
U1,HNRH1
U1,SNRNP70
U1,RU1C
U1,RUXE
U1,SmD1
U1,SNRPD2
U1,SmD3
U1,SRp38
U1,PTBP1
U1,SFRS2
U1,hnRNPC
U2,DX39B
U2,HNRNPA1
U2,SNRPA1
U2,SNRPB2
U2,RUXE
U2,SmD1
U2,SNRPD2
U2,SmD3
U2,U2AF2
U2,PUF60
U2,hnRNPC
U4,NHP2L1
U6,Staf
vRNA,SSB
vRNA,TEP1
WRAP53,TP53
XIST,hsa-miR-217
XIST,hsa-mir-186-3p
XIST,hsa-miR-320b
TSIX,Oct1
h19,IGF2BP3
h19,IGF2BP2
h19,IGF2BP1
KCNQ1OT1,IGR2
KCNQ1OT1,h19
KCNQ1OT1,CDKN1C
mdm2-as,H2AFX
mdm2-as,CDKN1A
mdm2-as,BCL2
mdm2-as,BBC3
mdm2-as,BAX
mdm2-as,AR
TINCR,STAU1
XIST,NXF1
XIST,HNRNPU
Y3 RNA,APOBEC3F
h19,IMP3
h19,IMP1
Y3 RNA,ZBP1
gtl2,DLK1
MALAT1,CASP8
MALAT1,CASP3
MALAT1,BCL2L1
MALAT1,BCL2
MALAT1,BAX
HIF1A-AS2,HIF1A
uc.460,TP53
uc.446,TP53
uc.379,TP53
uc.364,TP53
uc.350,TP53
uc.347,TP53
uc.279,TP53
AIRN,EHMT2
茂驴陆MYCN,MYCN
mycnos,MYCN
PINK1-AS,PINK1
CUDR,CREB1
CUDR,AKT1
PCA3,PMEPA1
PCA3,NDRG1
PCA3,KLK3
PCA3,FGF8
PCA3,CDK1
XIST,BRCA1
LINC-RoR,PTBP1
GAS5,Mtor
BC200,SYNCRIP
AIRN,IGF2R
NONHSAG033244,REST
ANKHD1-EIF4EBP3,NM23
h19,FGF18
h19,ANG
MIR1792,MYC
hTR,PCNA
TP53TG1,TP53
PCGEM1,PARP1
GNAS-AS1,GNAS
HFE antisense RNA,HFE
antisense RNAs,antisense RNA of PU.1
BDNF-AS,BDNF
CUDR,CASP3
antisense mRNAs of HAS2,HAS2
antisense c-myc RNA,MYC
iNOS AS,iNOS
RPS6KA2-AS1,RPS6KA2
DISC2,DISC1
ANCR,Runx2
HAS2-AS1 RNA,HAS2
91H,INS
Msx1 AS RNA,Msx1
HBII-180C,FGFR3
NKX2-2-AS1,NKX2-2
TrxR antisense RNA,TERT
HULC,hsa-miR-372
GlmY,glmS
GlmZ,glmS
anti-NOS2A RNA,iNOS
Cop2-as,Cop2
KCNQ1OT1,KCNQ1
IPW,UBE3A
COPG2IT1,COPG2
COPG2IT1,Peg1
NUDT6,FGF7
NONHSAG013514,RFP2
LINC-RoR,hsa-miR-145-3p
VTRNA2-1,MCL1
ZEB2-AS1,ZEB2
PEG3-AS1,PEG11
antisense BCMA RNA,TNFRSF17
PEG3-AS1,PEG3
ANKHD1-EIF4EBP3,MYOD1
E2F4 antisense,E2F4
SCAANT1,ATXN7
ATXN8OS,KLHL11
TrxR antisense RNA,TXNRD2
TrxR antisense RNA,TXNRD1
TrxR antisense RNA,TXNRD3
21A,CENPF
BANCR,CXCL11
Ftx,Ftx
ncRNA B2,NEDD9
CDKN1A-AS1,CDKN1A
TrxR antisense RNA,BCL2
lincRNA-p21,CTNNB1
lincRNA-p21,JUNB
DIO3OS,DIO3
PTENP1-AS,PTENP1
NPPA-AS1,NPPA
IGF2-AS,INS
SMAD5-AS1,SMAD5
DHRS4-AS1,DHRS4
DHRS4-AS1,DHRS4L2
DHRS4-AS1,DHRS4L1
IFNG-AS1,IFNG
WT1-AS,WT1
U1,c-met
U1,HGF
U1,SmB
U1,TFIIH
U1,SmF
U1,PSE-binding protein
U1,HMGA1
U1,DDX46
U1,SmG
U1,ASF
U2,TP53
U2,SmB
U2,SmF
U2,DDX46
U2,SmG
U3,CRM1
U3,NCL
U3,IMP4
U3,PHAX
U3,IMP3
U4,SmB
U4,RUXE
U4,SmD1
U4,SNRPD2
U4,SmD3
U4,SmF
U4,p110
U4,SmG
RNU5E-1,PRPF6
RNU5E-1,SmB
RNU5E-1,RUXE
RNU5E-1,SmD1
RNU5E-1,SNRPD2
RNU5E-1,SmD3
RNU5E-1,U5-15KD
RNU5E-1,SmF
RNU5E-1,PRP4B
RNU5E-1,U5S1
RNU5E-1,SNR40
RNU5E-1,DDX23
RNU5E-1,SmG
U6,TBP
U6,NS-1
h19,POMC
h19,PRL
h19,HGF
IPW,SNRPN
MESTIT1,MEST
PCGEM1,AR
aHIF,HIF1A
7SK,BRF1
7SL,SRP14
7SL,SRP9
hTR,TNFRSF1A
hTR,THBS1
hTR,SERPINE1
hTR,PNN
hTR,NME4
hTR,NFKBIA
hTR,NFKB1
hTR,MYC
hTR,MTA1
hTR,MCAM
hTR,JUN
hTR,EPDR1
hTR,E2F1
hTR,CTNNB1
hTR,CD44
hTR,BIRC5
hTR,BCL2L1
hTR,BCL2
hTR,BAX
hTR,ATM
hsa-mir-142-3p,TGFBR1
hsa-miR-155-3p,MAP3K10
hsa-mir-19a/19b,PTEN
hsa-mir-30a/30b/30c/,SFRS7
hsa-mir-92a-1-5p,BCL2L11
MALAT1,HMGB1
MALAT1,METTL16
NEAT1,HEXIM1
LINC00657,PUM2
MALAT1,EZH2
LINC00470,FUS
NEAT1,hsa-miR-129-5p
MALAT1,hsa-miR-129-5p
h19,hsa-mir-130a-3p
NEAT1,hsa-miR-132-3p
TUG1,hsa-miR-132-3p
GAS5,hsa-miR-136-3p
XIST,hsa-mir-137
NEAT1,hsa-miR-139-3p
MALAT1,hsa-mir-140-3p
SNHG16,hsa-mir-140-3p
XIST,hsa-mir-140-3p
h19,hsa-miR-141-3p
MALAT1,hsa-mir-142-3p
TUG1,hsa-mir-142-3p
MALAT1,hsa-miR-143-3p
TUG1,hsa-miR-144-3p
XIST,hsa-miR-144-3p
TUG1,hsa-miR-145-3p
h19,hsa-mir-148b
NEAT1,hsa-miR-155-3p
SNHG16,hsa-mir-15a/15b/16/1
SNHG1,hsa-miR-15b-5p
TUG1,hsa-mir-186-3p
CASC2,hsa-miR-18a-3p
NEAT1,hsa-mir-193a-3p/193b
SNHG12,hsa-miR-195-3p
SNHG1,hsa-miR-195-3p
MALAT1,hsa-miR-195-3p
PVT1,hsa-miR-195-3p
TP73-AS1,hsa-miR-200a-5p
MALAT1,hsa-miR-200a-5p
ZEB1-AS1,hsa-miR-200b-5p
XIST,hsa-miR-200b-5p
MALAT1,hsa-mir-200c-3p
MALAT1,hsa-miR-204-3p
GAS5,hsa-miR-205-5p
SNHG16,hsa-miR-205-5p
TUG1,hsa-miR-212-5p
MALAT1,hsa-miR-217
GAS5,hsa-miR-221-3p
GAS5,hsa-mir-222
h19,hsa-miR-22-3p
GAS5,hsa-miR-23a-3p
NEAT1,hsa-miR-23a-3p
h19,hsa-miR-29a-5p
XIST,hsa-miR-29a-5p
MALAT1,hsa-miR-328
TUG1,hsa-miR-328
LINC00958,hsa-miR-330-3p
h19,hsa-mir-342-3p
LINC00707,hsa-miR-370
h19,hsa-miR-370
MALAT1,hsa-miR-376a-3p
NEAT1,hsa-miR-377-3p
PVT1,hsa-miR-424-5p
TP73-AS1,hsa-miR-449a
GAS5,hsa-miR-455-3p
PVT1,hsa-mir-488-3p
PCAT2,hsa-miR-490-3p
PVT1,hsa-miR-497-3p
NEAT1,hsa-miR-506-3p
TUG1,hsa-miR-9-5p
SNHG12,hsa-miR-199a-5p
MALAT1,hsa-miR-202-3p
GAS5,hsa-mir-32
TUG1,hsa-mir-421
SNHG1,hsa-mir-448
SNHG1,hnRNPC
BCYRN1,PCBP2
LINC00657,KHDR1
MIR7-3HG,MOV10
RP11-1007G5.2,DBHS
CUDR,hsa-miR-7-1-3p
hsa-miR-7-1-3p,EGFR
hsa-mir-142-3p,HMGA2
PTCSC3,STAT3
RP11-159F24.1,hsa-mir-142-3p
hsa-mir-142-3p,ZEB1
SNHG15,Slug
DANCR,hsa-miR-577
RP11-65J3.1,EBP-1
RP11-65J3.1,MAPK1
HOXD-AS2,hsa-mir-130a-3p
hsa-miR-22-3p,LEF1
GSA5,hsa-miR-221-3p
NONHSAG033244,hsa-miR-873-3p
linc-UFC1,mmu-mir-34a
circ-Ccnb1,H2AFX
NONHSAG016292,hsa-miR-425-5p
hsa-miR-425-5p,PTEN
FOXD2-AS1,KDM1A
FOXD2-AS1,Ezh2
GAS5,hsa-mir-196a1
pncRNA-D,FUS
PRNCR1,hsa-miR-211-3p
Meg3,hsa-mir-21-3p
Meg3,MDM2
DICER1-AS1,hsa-miR-30b-3p
RP11-838N2.4,hsa-miR-378a-5p
RP11-242F24.1,SAKI
DANCR,hsa-miR-335-3p
DANCR,hsa-miR-1972
DLEU1,Mtor
GALNT5 uaRNA,HSP90
miR-199a-3p,IKBKB
HOTAIR,hsa-miR-143-3p
hsa-miR-143-3p,BCL2
LINC00657,PUM1
MT1JP,hsa-mir-92a-1-5p
HOTTIP,hsa-mir-637
PVT1,hsa-mir-448
HOTAIR,hsa-mir-203a
CUDR,hsa-miR-129-5p
hsa-mir-31-5p,NOS1
hsa-miR-708-3p,NOS1
hsa-mir-34c-5p,NOS1
CUDR,IMP1
CUDR,hsa-mir-122
CUDR,hsa-mir-125a-3p
NONHSAG033244,hsa-miR-330-3p
CUDR,hsa-mir-1
CUDR,hsa-mir-203a
circ-4099,hsa-miR-616-3p
SPRY4-IT1,hsa-mir-101-1
Meg3,hsa-miR-499a-3p
HOTAIR,miR-141
LINC00472,G3BP1
MALAT1,SP1
TP53TG1,hsa-miR-18a-3p
TUG1,hsa-miR-129-5p
TUSC7,hsa-miR-224-5p
hsa-mir-223-3p,HSPA1B
hsa-miR-483-3p,NDRG2
CASC9,CBP
HOXD-AS1,PARP1
hsa-miR-1275,LRH-1
TINCR,hsa-miR-544a
hsa-miR-544a,FBXW7
PVT1,Ezh2
hsa-miR-106a-3p,E2F3
DANCR,miR-496
hsa-miR-132-3p,SOX4
HNF1A-AS1,PTPN6
PANDAR,U2AF2
PANDAR,PTBP1
HOTAIR,hsa-mir-23b-3p
hsa-mir-23b-3p,MAPK1
PANDAR,p53
CUDR,hsa-mir-193a-3p/193b
hsa-mir-193a-3p/193b,HMGB1
DANCR,hsa-miR-634
SNHG5,hsa-mir-26a-1
HIF1A-AS2,hsa-miR-129-5p
hsa-miR-129-5p,DNMT3A
hsa-mir-448,BCL2
RP11-109P11.1,MYH11
RP11-109P11.1,FN1
RP11-714G18.1,LRP2BP
HOTAIR,mmu-mir-34a
CDKN2B-AS1,hsa-mir-122
SPRY4-IT1,Ezh2
hsa-miR-29a-5p,LIN28
DUXAP10,SUZ12
DUXAP10,KDM1A
DUXAP10,ELAV1
lnc-RI,hsa-mir-193a-3p/193b
hsa-mir-193a-3p/193b,RAD51
hsa-miR-506-3p,STAT3
91H,HNRPK
DANCR,FOXO1
AC009336.24,hsa-mir-100-5p
hsa-mir-100-5p,Mtor
hsa-miR-129-5p,KLK7
hsa-mir-374a-3p,MID1
hsa-miR-542-3p,MID1
hsa-mir-19b-1-5p,MID1
hsa-miR-340-5p,MID1
SNHG16,hsa-mir-216b
hsa-miR-3065-3p,BMPR2
circ_0009910,hsa-miR-449a
hsa-miR-449a,IL6R
hsa-miR-212-5p,FOXA1
GAS5,hsa-mir-181c
TUG1,hsa-miR-133a1
hsa-miR-133a1,FBXW7
LINC00152,hsa-miR-16-1-3p
hsa-miR-616-3p,PON1
hsa-mir-223-3p,STIM1
hsa-mir-19a/19b,TSPYL5
hsa-miR-125b-5p,StarD13
hsa-miR-125b-5p,TP53INP1
MALAT1,hsa-miR-127-5p
LINC00511,hsa-miR-29b-1-5p
hsa-miR-373-3p,APP
hsa-mir-19a/19b,PAX6
PDIA3P,hsa-miR-185-3p
hsa-miR-185-3p,CCND2
AC093901.1,IF2B1
LINC-RoR,hsa-miR-15b-5p
LINC-RoR,hsa-miR-33a-3p
LINC-RoR,hsa-miR-129-5p
LINC-RoR,hsa-mir-206
hsa-miR-15b-5p,SOX9
hsa-miR-33a-3p,SOX9
hsa-miR-129-5p,SOX9
hsa-miR-145-3p,SOX9
hsa-mir-206,SOX9
circWDR77,hsa-mir-124
SIAH1,hsa-miR-15b-5p
RP11-660L16.2,CNBP
mmu-mir-34a,SERPINE1
CASC8,hsa-mir-130a-3p
hsa-mir-130a-3p,SOX4
SNORD109A,hsa-mir-203a
hsa-mir-203a,WASL
hsa-miR-132-3p,CYP1A2
ZEB2-AS1,hsa-mir-27b-3p
ZEB1-AS1,IL11
LINC00941,ANXA2
LINC00941,mmu-mir-34a
mmu-mir-34a,Snai1
miR-203,RGS17
LOC554202,Ezh2
hsa-mir-31-5p,RNF144B
hsa-mir-124,STAT3
hsa-miR-605,EN2
hsa-mir-98,IKBKE
hsa-mir-98,ADIPOR1
XIST,hsa-mir-124
hsa-mir-26a-1,Ezh2
hsa-mir-26a-1,TET1
hsa-mir-26a-1,TET2
hsa-mir-26a-1,TET3
AC012317.1,hsa-mir-93-3p
LINC00052,b-catenin
LINC00052,SMYD2
Meg3,hsa-mir-19a/19b
CASC7,hsa-mir-21-3p
hsa-mir-21-3p,ING3
FEZF1-AS1,KDM1A
hsa-mir-181c,WIF1
PVT1,rno-miR-146b-5p
mmu-mir-152,CD151
mmu-mir-152,FGF2
mmu-miR-138-5p,AMACR
hsa-miR-450a-3p,STAT1
hsa-miR-450a-3p,TM4SF1
hsa-mir-28-3p,TM4SF1
hsa-mir-28-3p,BMP6
DLEU1,hsa-miR-490-3p
SNORD109A,Ezh2
MKLN1-AS1,Ezh2
MKLN1-AS1,SUZ12
RP11-103H7.5,hsa-miR-215-5p
RP5-839B4.8,RBM14
hsa-mir-21-3p,SOX7
ZFAS1,hsa-miR-486-3p
hsa-let-7b-5p,ATXN7L3
HOTTIP,hsa-miR-574-3p
circGFRA1,mmu-mir-34a
mmu-mir-34a,GFRA1
hsa-mir-142-3p,TRPA1
miR-193a,WT1
hsa-mir-101-1,SOX9
CASC8,miR-410
miR-410,ITPKB
miR-572,PPP2R2C
h19,hsa-miR-29b-1-5p
hsa-miR-29b-1-5p,DNMT3B
hsa-mir-196a1,FOXO1
hsa-miR-375,MTDH
hsa-miR-145-3p,MTDH
hsa-miR-375,MAP3K1
GHET1,ATF1
miR-136,TIMP3
RP11-48O20.4,hsa-miR-133b
RP11-48O20.4,hsa-miR-511
hsa-miR-133b,SOX4
miR-144-3p,Ezh2
hsa-miR-200b-5p,DNMT3A
hsa-miR-378a-5p,Npnt
CASC8,BIRC7
hsa-miR-377-3p,E2F3
hsa-miR-9-5p,ANO1
LincRNA-p21,Ezh2
hsa-mir-320a,PBX3
hsa-mir-181a/181b/18,KRAS
hsa-mir-186-3p,CPEB2
hsa-mir-488-3p,IL-1尾
hsa-miR-920,IL-1尾
hsa-mir-20b-3p,NLRP3
hsa-miR-204-3p,Smad4
hsa-miR-145-3p,ADD3
circLARP4,hsa-miR-424-5p
hsa-miR-424-5p,LATS1
circRNA-MYLK,hsa-miR-29a-5p
hsa-miR-29a-5p,VEGFA
RPS24,ARID1A
hsa-miR-22-3p,SIRT1
SNORD50A,FIP1
snoRD22,FIP1
GAS5,hsa-mir-21-3p
circACTA2,hsa-mir-548f1
hsa-mir-548f1,伪-SMA
hsa-miR-196b-3p,HOXB7
hsa-miR-196b-3p,GALNT5
MALAT1,BIRC7
miR-15a,PD-L1
hsa-miR-16-1-3p,PD-L1
hsa-mir-193a-3p/193b,PD-L1
hsa-mir-125a-3p,NEDD9
CASC9,Ezh2
hsa-miR-200b-5p,ZEB1
hsa-miR-23a-3p,EGLN1
hsa-miR-23a-3p,EGLN2
hsa-mir-200c-3p,SIRT1
hsa-mir-200c-3p,eNOS
hsa-mir-200c-3p,FOXO1
circRNA_100290,hsa-miR-29b-1-5p
hsa-miR-29b-1-5p,CDK6
CRNDE,hsa-mir-451a
lncSHRG,SATB1
hsa-mir-200c-3p,MAD2L1
hsa-mir-101-1,ANXA2
HOXA11-AS,hsa-mir-124
hsa-mir-124,ROCK1
hsa-miR-192-3p,PBX3
hsa-miR-3144-5p,RANGRF
hsa-mir-125a-3p,TNFRSF1B
hsa-mir-125a-3p,CCR2
miR-1254,HO-1
miR-1254,TFAP2A
hsa-mir-181a/181b/18,PTPN9
NEAT1,hsa-mir-101-1
hsa-mir-101-1,EMP2
OIP5-AS1,GAK
hsa-miR-372,JMJD2A
hsa-mir-320a,VIM
hsa-miR-340-5p,MITF
CircHIPK3,miR-379
MALAT1,TGFB1
CASC2,hsa-mir-367-3p
hsa-mir-367-3p,FBXW7
hsa-miR-199a-5p,GRP78
miR-495,GRP78
LINC00511,hsa-mir-150
hsa-mir-150,ZEB1
hsa-mir-99b,ARID3A
hsa-let-7e-3p,ARID3A
hsa-mir-125a-3p,ARID3A
DANCR,Ezh2
MANTIS,SMARCA4
CCAT2,mmu-mir-34a
hsa-mir-17/20b/93/51,VLDLR
hsa-miR-9-5p,BECN1
PTENP1,hsa-mir-19b-1-5p
hsa-mir-19b-1-5p,PTEN
hsa-mir-421,CASP3
hsa-miR-135b-5p,SMAD5
hsa-miR-135b-5p,Smad4
hsa-miR-18a-3p,hPXR
hsa-miR-455-3p,EGFR
hsa-miR-370,EGFR
hsa-mir-200c-3p,ZEB2
hsa-mir-27b-3p,VE-cadherin
HOTAIR,hsa-mir-148b
hsa-mir-148b,USF1
circRNA_100269,hsa-miR-630
hsa-miR-7-1-3p,Wave-3
LINC00630,HDAC1
HOXA11-AS,Ezh2
hsa-mir-130a-3p,BACH2
let-7a-3p,BCL2L2-PABPN1
miR-146a,NFKB1
CUDR,hsa-miR-182-3p
hsa-miR-182-3p,PPP1R13L
RP11-463O9.5,PI4K伪
LINC00152,Ezh2
CUDR,Ezh2
hsa-mir-21-3p,BCL2
hsa-mir-148a,DNMT1
rno-miR-146b-5p,DNMT1
hsa-miR-144-3p,FMN2
hsa-mir-21-3p,DNM1L
PVT1,hsa-mir-186-3p
hsa-mir-186-3p,YAP1
hsa-mir-125a-3p,STAT3
hsa-mir-106b-3p,CDKN1A
hsa-mir-100-5p,ZNRF2
AF113014,hsa-mir-20a/106b
hsa-mir-20a/106b,Egr2
hsa-miR-455-3p,HDAC2
Meg3,ATG3
RP11-166D19.1,hsa-mir-19a/19b
hsa-mir-142-3p,ZEB2
hsa-mir-181b-3p,FAMLF
hsa-miR-195-3p,FGF18
hsa-mir-30a/30b/30c/,CD73
hsa-miR-143-3p,PGK1
linc-ADAMTS5,PSF
hsa-miR-33a-3p,EN2
HULC,YBOX1
RP11-216C10.1,Slug
hsa-miR-132-3p,MUC13
rno-miR-146b-5p,PD-L1
CircPVT1,let-7a-3p
CASC8,hsa-mir-181a/181b/18
hsa-mir-1247-5p,RCC2
PVT1,FOXM1
hsa-circ-0016347,hsa-miR-214-5p
hsa-miR-214-5p,Caspase-1
LINC00305,LMBR1L
hsa-mir-451a,MYC
LINC00673,Ezh2
LINC00673,KDM1A
AK093407,STAT3
hsa-mir-98,SNHG16
miR-650,AKT2
SNHG1,p53
hsa-miR-144-3p,ZEB2
hsa-miR-296-3p,CASP8
hsa-miR-296-3p,NGFR
hsa-mir-92a-1-5p,HDAC2
miR-3908,ADIPOR1
hsa-mir-142-3p,HMGB1
hsa-miR-129-5p,HMGB1
LINC00441,DNMT3A
hsa-mir-142-3p,SOCS1
hsa-miR-532-3p,TERT
hsa-miR-3064-3p,TERT
Lnc-ATB,hsa-miR-141-3p
hsa-miR-141-3p,TGF-尾2
hsa-miR-29a-5p,XIAP
hsa-miR-29a-5p,FSCN1
miR-622,LAMC2
hsa-miR-197-3p,CD82
Meg3,NFE2L2
hsa-miR-188-3p,MLLT4
miR-1254,PSMD10
lnc-IL7R,Ezh2
hsa-miR-520c-3p,STAT3
hsa-mir-17/20b/93/51,PD-L1
HOXA11-AS,SUZ12
HOXA11-AS,EED
hsa-mir-10a-3p,GATA6
hsa-mir-15a/15b/16/1,p15INK4B
HOTAIR,Ezh2
HOTAIR,Snai1
hsa-miR-874,PIN1
LINC00152,KDM1A
LINC00152,hsa-miR-205-5p
hsa-miR-34b-3p,AR
RP11-23B15.1,MYH9
hsa-mir-137,XIAP
hsa-mir-31-5p,E-selectin
hsa-mir-103a1,DVL1
hsa-mir-103a1,MYB
hsa-miR-22-3p,MTHFR
hsa-miR-149-3p,MTHFR
hsa-miR-200a-5p,b-catenin
ANCR,Ezh2
hsa-mir-92a-1-5p,ADAMTS-4
hsa-mir-92a-1-5p,ADAMTS-5
CUDR,hsa-miR-195-3p
hsa-mir-30a/30b/30c/,GRP78
HANR,C14orf129
NONHSAG013514,ACE2
hsa-mir-124,AR
hsa-miR-328,Ezh2
hsa-mir-26a-1,HGF
hsa-miR-26b-3p,HGF
SNHG6,hsa-mir-101-1
hsa-mir-101-1,ZEB1
hsa-mir-181a/181b/18,VCAM-1
XLOC_008466,hsa-miR-874
hsa-miR-874,MMP2
hsa-miR-874,XIAP
hsa-miR-1185-1-3p,UVRAG
hsa-miR-1185-1-3p,KRIT1
hsa-miR-129-5p,CTBP2
BCYRN1,PCBP1
miR-1,EGFR
hsa-mir-206,EGFR
miR-1,c-met
hsa-mir-206,c-met
hsa-mir-101-1,REL
hsa-miR-181a-2-3p,SFRS7
hsa-mir-216b,SFRS7
XPi2,NCL
XPi2,HNRNPA1
lncRNA-HIT,ZEB1
RAMP2-AS1,DHC10
HOTAIR,hsa-miR-126-5p
Unigene56159,hsa-mir-140-3p
hsa-mir-140-3p,Slug
miR-3196,BBC3
hsa-mir-10a-3p,GP1BA
hsa-mir-10b-3p,GP1BA
hsa-mir-93-3p,FOXA1
hsa-mir-107,NF1
CRNDE,DMBT1
CRNDE,c-IAP1
hsa-mir-203a,ZEB2
AC131025.8,hsa-miR-143-3p
hsa-mir-122,epo
miR-675,VDR
hsa-miR-9-5p,POU2F1
HULC,Ezh2
hsa-mir-124,SMOX
hsa-miR-346,XPC
PCA3,miR-1261
miR-1261,PRKD3
HOTAIR,COX-2
HOTTIP,BRE
hsa-miR-18a-3p,ADD3
hsa-miR-217,NMDAR
miR-588,GRN
hsa-miR-145-5p,ERG
hsa-mir-124,MTDH
hsa-mir-101-1,PTEN
hsa-mir-101-1,DNMT1
PIK3CA-miR1,APPL1
PIK3CA-miR1,TrkC
TINCR,miR-125b
miR-125b,Snail-1
miR-496,TR尾1
hsa-mir-26a-1,TR尾1
RP11-314O13.1,AR
hsa-miR-520a-5p,ATAD2
hsa-miR-106a-3p,p21
miR-203,Ppp2ca
hsa-mir-23b-3p,ANXA2
hsa-miR-3614-3p,TRIM25
hsa-miR-7-1-3p,TGFBR2
hsa-miR-212-5p,ABCG2
hsa-miR-132-3p,ABCG2
hsa_circ_0027599,miR-101-3p.1
hsa-mir-101-1,PHLDA1
circ_0058063,hsa-miR-145-3p
hsa-miR-145-3p,CDK6
circ-LAMP1,hsa-mir-615-3p
hsa-mir-615-3p,DDR2
circ-SATB2,hsa-miR-939-3p
hsa-miR-939-3p,STIM1
circ-SFMBT2,hsa-miR-182-3p
hsa-miR-182-3p,CREB1
Circ-U2AF1,hsa-miR-7-5p
circ-ZEB1.33,hsa-miR-200a-5p
hsa-miR-200a-5p,CDK6
circ0001429,hsa-miR-205-5p
hsa-miR-205-5p,VEGFA
hsa_circ_0008717,hsa-miR-1252
hsa-miR-1252,FOXR2
circEIF4G2,miR-218
hsa_ circRNA_000479,hsa-miR-4753-3p
hsa_ circRNA_000479,miR-6809
hsa-miR-4753-3p,BCL11A
miR-6809,BCL11A
hsa_circRNA_100833,miR-498
hsa_circ_0010090,hsa-miR-346
hsa-miR-346,FBLIM1
hsa_circ_0072391,miR-153-3p
hsa_circ_0072391,hsa-miR-490-3p
hsa_circ_0072391,hsa-mir-615-3p
hsa_circ_0072391,hsa-miR-503-3p
hsa-miR-490-3p,IGF2
hsa-miR-503-3p,IGF2
Hsa_circ_0077179,miR-29b
hsa-miR-29b-1-5p,PTEN
circRNA_0005505,miR-3607-3p
miR-3607-3p,FOXC1
hsa_circ_0007255,hsa-miR-375
hsa-miR-375,KIF4A
hsa_circ_0087960,hsa-miR-762
Hsa_circ_0001098,hsa-miR-3942-3p
hsa_circ_0077232,hsa-miR-422a
hsa_circ_0100181,miR-153-5p
hsa_circ_0100181,hsa-miR-183-3p
miR-153-5p,XIAP
hsa-miR-183-3p,XIAP
circPSMC3,hsa-miR-296-3p
hsa-miR-296-3p,PTEN
hsa_circ_0001681,hsa-mir-198-5p
hsa-mir-198-5p,FGFR1
circRNA_000543,miR-9
hsa-miR-9-5p,PDFGRB
circRNA_0084043,miR-153-3p
miR-153-3p,Snail
circRNA_100290,miR-516b
miR-516b,FZD4
circ_104075,hsa-miR-582-3p
hsa-miR-582-3p,YAP
circRNA-ACAP2,hsa-mir-21-3p
hsa-mir-21-3p,Tiam1
CDR1as,miR-7
circ_0000190,hsa-miR-767-3p
hsa-miR-767-3p,MAPK4
circ_0026344,hsa-mir-21-3p
circ_0026344,hsa-mir-31-5p
circ-BANP,hsa-miR-503-3p
hsa-miR-503-3p,LARP1
circ-ITCH,hsa-miR-22-3p
hsa-miR-22-3p,CBL
hsa_circ_0058514,hsa-miR-195-3p
hsa-miR-195-3p,CCNE1
circHIPK3,hsa-miR-654-3p
hsa-miR-654-3p,IGF2BP3
circ0093398,hsa-mir-186-3p
hsa-mir-186-3p,NEK2
circRNA_102171,CTNNBIP1
circFGFR3,hsa-miR-22-3p
hsa-miR-22-3p,Gal-1
CDR1as,miR-135a-5p
miR-135a-5p,SIRT1
hsa_circ_0006427,miR-6783-3p
miR-6783-3p,DKK1
hsa_circ_0078710,hsa-mir-31-5p
hsa-mir-31-5p,CDK2
